cost_bp,trade_count,final_nav,ann_return,ann_vol,sharpe,max_drawdown,win_rate,avg_gross_ret,avg_net_ret,profit_factor,avg_pred_up_proba,prob_threshold
3.0,2619,0.7170892710327059,-0.2926975276514735,0.021979772652586143,-13.316676759030747,-0.2821820661033768,0.2844597174494082,-3.401055035675533e-05,-0.0006340105503567551,0.2957071372943329,0.5805001924780998,0.5
5.0,18,0.998440894426417,-0.0016234790989584358,0.0019886028539625655,-0.8163918178652061,-0.002435525045030973,0.3888888888888889,0.0005671042390868094,-0.00043289576091319073,0.6598039820566854,0.8162030995715723,0.8
5.0,69,0.9813315730778424,-0.01943230620754255,0.007431981245574777,-2.6146871965148084,-0.018932965491405662,0.2753623188405797,-0.000363599410071078,-0.001363599410071078,0.30038227692989455,0.7677270858389075,0.75
5.0,337,0.9356137563541823,-0.06695574490196154,0.010428007748157308,-6.420760946767903,-0.06428679671305981,0.26112759643916916,1.348176739102213e-05,-0.0009865182326089781,0.30837839873906986,0.7151539889328462,0.7
5.0,1338,0.7744062523120034,-0.23373182846696272,0.013843139612569808,-16.884307679359832,-0.2248360612067939,0.2526158445440957,4.547128430077082e-05,-0.0009545287156992293,0.2161414602476191,0.6636645631073228,0.65
5.0,1828,0.6911843465429565,-0.31928465231021963,0.01838427607501493,-17.367268148466398,-0.30791944399505866,0.224835886214442,-9.039923584405782e-06,-0.001009039923584406,0.18500414660442602,0.6312329301757121,0.6
5.0,2203,0.6455803201897949,-0.3659887139611999,0.02372095670125299,-15.428918764556727,-0.3533628222001396,0.20835224693599638,8.30456298322768e-06,-0.0009916954370167725,0.18737783709677894,0.6060225655362872,0.55
5.0,2619,0.5813023684454214,-0.43158354506156904,0.023354226617417,-18.479890262763178,-0.4176872559429887,0.1928216876670485,-3.401055035675533e-05,-0.0010340105503567555,0.1464178582439316,0.5805001924780998,0.5
10.0,18,0.994849231293666,-0.005363038646585716,0.0034194664687927008,-1.5683846282836122,-0.005443610309964875,0.2777777777777778,0.0005671042390868094,-0.001432895760913191,0.2776067986082982,0.8162030995715723,0.8
10.0,69,0.9678665678046006,-0.033438812798155415,0.009265855793091313,-3.608820765707106,-0.0319278303762599,0.2028985507246377,-0.000363599410071078,-0.0023635994100710783,0.1337599694336478,0.7677270858389075,0.75
10.0,337,0.8745706823582647,-0.130259395574441,0.013985757767250038,-9.31371740753761,-0.12516137269009053,0.1572700296735905,1.348176739102213e-05,-0.001986518232608978,0.10651016439455598,0.7151539889328462,0.7
10.0,1338,0.5922984313165109,-0.420382575294314,0.01747033777344016,-24.062647256506626,-0.4066469113306409,0.09566517189835576,4.547128430077082e-05,-0.0019545287156992296,0.051322213672911295,0.6636645631073228,0.65
10.0,1828,0.4790846831427145,-0.5352641426882074,0.023051731417434135,-23.220127503454453,-0.5199095515485092,0.0836980306345733,-9.039923584405782e-06,-0.0020090399235844067,0.0417189068221658,0.6312329301757121,0.6
10.0,2203,0.4149746459541595,-0.5998366315597417,0.028889660136187705,-20.76302139700064,-0.5837623264357986,0.07353608715388107,8.30456298322768e-06,-0.0019916954370167725,0.047758130866329455,0.6060225655362872,0.55
10.0,2619,0.34364237048052043,-0.6711956444769482,0.02829666697373581,-23.719954194602977,-0.6551385068304209,0.06223749522718595,-3.401055035675533e-05,-0.002034010550356756,0.030025265247895068,0.5805001924780998,0.5
